"document_type","document_title","chapter","chapter_title","section","section_title","article_number","content","sub_items","level","chunk_id","char_count","is_semantic_chunk"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","None","None","None","None","None","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》
一书自2019年3月出版以来，多次加印，在京东、当当、天猫等网店收
获“体系完整”“逻辑清晰”“内容翔实”“案例丰富”“实操性强”等好评。大
家的认可和接受，也激励我持续关注国家最新立法动态、最新司法观
点和最新管理实践，并将它们及时补充进来，使这本书的内容更加实
用、更加丰富。","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__1_semantic_1","169","True"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","None","None","None","None","None","本次修订是基于以下原因：一是法律调整。","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__1_semantic_2","19","True"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","None","None","None","None","None","最主要的是《中华人
民共和国民法典》于2021年1月1日起正式实施，《中华人民共和国民
法通则》《中华人民共和国合同法》《中华人民共和国民法总则》等
法律废止，与其配套的司法解释也发生了大幅调整，如与招标投标活
动相关的《最高人民法院关于适用〈中华人民共和国合同法〉若干问
题的解释（一）》《最高人民法院关于适用〈中华人民共和国合同
法〉若干问题的解释（二）》及《最高人民法院关于审理建设工程施
工合同纠纷案件适用法律问题的解释》《最高人民法院关于审理建设
工程施工合同纠纷案件适用法律问题的解释（二）》均已废止，新颁
布了《最高人民法院关于审理建设工程施工合同纠纷案件适用法律问
题的解释（一）》（法释〔2020〕25号）。另外，国务院及相关部委
修订了《中华人民共和国招标投标法实施条例》《政府采购信息发布
管理办法》等，出台了《优化营商环境条例》《房屋建筑和市政基础
设施项目工程总承包管理办法》等，还颁布了一些规范性文件。根据
这些立法、政策调整，参照《招标投标法注释书》对本书进行了全面
修订。","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__1_semantic_3","452","True"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","None","None","None","None","None","二是读者建议。本书出版后，不少读者就书中内容提出一些好
再版说明
的意见或建议，也贡献了一些最佳实践案例和经验做法。同时，司法
审判出现了新的裁判观点，招投标行业也涌现了一些管理创新成果，
借此机会，一并择要吸纳，以便更好地满足不同受众需求。另外，增
删了个别案例、修订了个别错误，根据权威裁判和修法趋势也调整了
个别观点（如中标合同的成立时点）。特此说明，并再次感谢读者朋友们对这本书的厚爱。2022年7月
招标投标作为一种通过竞争机制实现资源配置的常用交易方式，
其交易过程法律要求严格、规范性强，从招标、投标、开标、评标、
定标到签订合同的所有环节，都必须严格按照法律法规和招标文件规
定的程序、规则进行操作。此外，招标项目往往涉及公共安全和社会
公共利益，牵涉众多的利益相关方，其招标过程和中标结果也广受社
会各界关注。作为招标采购业界的从业人员，在从事招标采购活动中，既要考
虑到招标人采购目标和合理需求的实现，又要严格遵循法律法规的规
范和要求操作，法律风险始终存在于招标投标活动的全过程，甚至向
前延伸到招标方案的策划阶段，向后延展到中标合同的履约阶段。","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__1_semantic_4","484","True"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","None","None","None","None","None","一直以来，招标采购业界缺少一本全面、系统地分析研究招标投
标法律风险的专业书籍。","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__1_semantic_5","40","True"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","None","None","None","None","None","在招标投标实践中，不同主体基于不同考量
或出于不同立场，就同一法条存在不同解读、对同类案件处理不同的
情况较为普遍。有必要为各方主体提供一本全面、系统、专业的法律
实务操作指南，帮助从业人员准确运用相关法律解决实践问题，有效
管控招标采购过程中的法律风险。","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__1_semantic_6","128","True"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","None","None","None","None","None","今年春节过后，本书作者白如银先生对我说，他想写一本关于招
标投标法律风险防范方面的专业书籍。","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__1_semantic_7","46","True"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","None","None","None","None","None","对此动议，我深表赞同。","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__1_semantic_8","11","True"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","None","None","None","None","None","尽管
对他著书一事早已知晓，但在11月底有幸先一睹其所著的《招标投标
法律解读与风险防范实务》一书书稿时，还是大为惊讶：一则惊异于
本书篇幅之大、内容之全。全书九章47节共60多万字，分为194个专
序言
项，并融入了200来个案例，涵盖了招标投标基础知识、招投标各阶段
的法律实务、异议（质疑）投诉的处理和招标投标法律责任等内容，
可谓是招标投标法律风险防范知识的大荟萃。二则惊羡于作者本书对
一些专业问题的独到视角。如关于《招标投标法》与《政府采购法》
同根同源且立法渐有趋同的判断，关于招标投标活动的公开原则应以
“公开为原则，不公开为例外”的诠释，关于“其他组织”和“非法人组
织”内涵的解读等，无不溢显出一位专业法律人士对法律条文的熟练掌
握和法理的精准把握。三则惊叹于作者长期的坚持、辛勤和努力。白
如银先生是我多年的好友，多年来一直笔耕不辍，常有佳作问世。他
本职是在一家大型央企从事法律工作，平时工作十分繁忙，家中还有
两个年幼的孩子，能在繁杂的工作和生活之余，写出如此精良的专业
书籍，实在难能可贵，也令我敬佩不已。读完书稿，作为一名正在从事招标采购工作，且热爱着这个行业
的从业人员，我从中领悟良多，也深信本书能给其他从业人员带来专
业知识的启迪和享受。","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__1_semantic_9","537","True"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","None","None","None","None","None","2018年12月于上海。","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__1_semantic_10","12","True"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第一节","招标投标概述","一","第一章
招标投标基础知识
第一节
招标投标概述
一、招标投标的起源与发展","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__2","12","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第一节","招标投标概述","二","第一章
招标投标基础知识
第一节
招标投标概述
二、对“招标投标”概念的理解","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__3","14","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第一节","招标投标概述","三","第一章
招标投标基础知识
第一节
招标投标概述
三、招标投标的主要特点","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__4","11","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第一节","招标投标概述","四","第一章
招标投标基础知识
第一节
招标投标概述
四、招标投标的作用","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__5","9","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第一节","招标投标概述","五","第一章
招标投标基础知识
第一节
招标投标概述
五、招标投标与其他交易方式的区别","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__6","16","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第二节","招标投标的基本原则","一","第一章
招标投标基础知识
第二节
招标投标的基本原则
一、“三公”原则","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__7","8","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第二节","招标投标的基本原则","二","第一章
招标投标基础知识
第二节
招标投标的基本原则
二、诚实信用原则","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__8","8","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第三节","招标投标的主体和客体","一","第一章
招标投标基础知识
第三节
招标投标的主体和客体
一、招标投标主体","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__9","8","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第三节","招标投标的主体和客体","二","第一章
招标投标基础知识
第三节
招标投标的主体和客体
二、招标投标客体","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__10","8","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第四节","招标的分类","一","第一章
招标投标基础知识
第四节
招标的分类
一、强制招标和自愿招标","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__11","11","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第四节","招标的分类","二","第一章
招标投标基础知识
第四节
招标的分类
二、货物招标、工程招标和服务招标","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__12","16","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第四节","招标的分类","三","第一章
招标投标基础知识
第四节
招标的分类
三、公开招标和邀请招标","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__13","11","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第四节","招标的分类","四","第一章
招标投标基础知识
第四节
招标的分类
四、国际招标和国内招标","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__14","11","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第四节","招标的分类","五","第一章
招标投标基础知识
第四节
招标的分类
五、传统招标和电子招标","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__15","11","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第四节","招标的分类","六","第一章
招标投标基础知识
第四节
招标的分类
六、总承包招标和两阶段招标","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__16","13","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第五节","招标投标的程序及法律性质","一","第一章
招标投标基础知识
第五节
招标投标的程序及法律性质
一、要约邀请阶段——招标","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__17","12","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第五节","招标投标的程序及法律性质","二","第一章
招标投标基础知识
第五节
招标投标的程序及法律性质
二、要约阶段——投标","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__18","10","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第五节","招标投标的程序及法律性质","三","第一章
招标投标基础知识
第五节
招标投标的程序及法律性质
三、承诺阶段——开标、评标、定标、签订合同","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__19","21","False"
"法律法规","承蒙读者朋友厚爱，拙著《招标投标法律解读与风险防范实务》","第一章","招标投标基础知识","第六节","电子招标投标","一","第一章
招标投标基础知识
第六节
电子招标投标
一、电子招标投标的概念及意义","None","1","招标投标法律解读与风险防范实务__白如银___Z-Library__20","14","False"
